original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,important_columns,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.91500497,0.8544297,0.060575247,1,False,9,100,shap,0.20844244956970215,69,75,16,72,1,62,2,73,48,47,49
0.91500497,0.84578294,0.06922203,1,False,10,100,shap,0.21342253684997559,69,75,16,72,1,62,2,73,48,47,49
1.0,1.0,0.0,1,False,0,100,shap,3.348405361175537,75,69,70,74,76,18,73,72,35,10,67
1.0,0.9999999,1.1920929e-07,1,False,1,100,shap,0.2912125587463379,75,69,70,74,76,18,73,72,35,10,67
1.0,0.99999964,3.5762787e-07,1,False,2,100,shap,0.21158480644226074,75,69,70,74,76,18,73,72,35,10,67
1.0,0.9999695,3.0517578e-05,1,False,3,100,shap,0.2522878646850586,75,69,70,74,76,18,73,72,35,10,67
1.0,0.99884295,0.0011570454,1,False,4,100,shap,0.2772829532623291,75,69,70,74,76,18,73,72,35,10,67
1.0,0.99796474,0.0020352602,1,False,5,100,shap,0.22838807106018066,75,69,70,74,76,18,73,72,35,10,67
1.0,0.96494704,0.035052955,1,False,6,100,shap,0.24231219291687012,75,69,70,74,76,18,73,72,35,10,67
1.0,0.9232875,0.07671249,1,False,7,100,shap,0.22408318519592285,75,69,70,74,76,18,73,72,35,10,67
1.0,0.91364443,0.08635557,1,False,8,100,shap,0.19513368606567383,75,69,70,74,76,18,73,72,35,10,67
1.0,0.9124262,0.08757383,1,False,9,100,shap,0.18358159065246582,75,69,70,74,76,18,73,72,35,10,67
1.0,0.9005368,0.099463224,1,False,10,100,shap,0.18240618705749512,75,69,70,74,76,18,73,72,35,10,67
1.0,1.0,0.0,1,False,0,100,shap,3.0013349056243896,75,69,73,70,74,72,76,20,6,1,4
1.0,0.9999999,1.1920929e-07,1,False,1,100,shap,0.19248366355895996,75,69,73,70,74,72,76,20,6,1,4
1.0,0.99999964,3.5762787e-07,1,False,2,100,shap,0.20487046241760254,75,69,73,70,74,72,76,20,6,1,4
1.0,0.9999521,4.7922134e-05,1,False,3,100,shap,0.2426915168762207,75,69,73,70,74,72,76,20,6,1,4
1.0,0.9967049,0.0032951236,1,False,4,100,shap,0.20034313201904297,75,69,73,70,74,72,76,20,6,1,4
1.0,0.94510275,0.05489725,1,False,5,100,shap,0.18936705589294434,75,69,73,70,74,72,76,20,6,1,4
