original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,important_columns,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.91206825,0.9105481,0.0015201569,1,False,1,100,shap,0.20006322860717773,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.9114661,0.0006021261,1,False,2,100,shap,0.18494057655334473,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.9060874,0.0059808493,1,False,3,100,shap,0.18321728706359863,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.89827025,0.013797998,1,False,4,100,shap,0.1765289306640625,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.8928807,0.01918757,1,False,5,100,shap,0.17353582382202148,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.88799125,0.024076998,1,False,6,100,shap,0.1719064712524414,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.87960464,0.03246361,1,False,7,100,shap,0.18436837196350098,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.8664078,0.045660436,1,False,8,100,shap,0.16762971878051758,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.86499184,0.047076404,1,False,9,100,shap,0.17524003982543945,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.8574119,0.054656327,1,False,10,100,shap,0.18074917793273926,16,1,67,22,4,28,30,27,47,33,46
0.906606,0.906606,0.0,1,False,0,100,shap,2.5504307746887207,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8847016,0.021904409,1,False,1,100,shap,0.19904088973999023,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.88154966,0.025056362,1,False,2,100,shap,0.18286681175231934,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8805025,0.026103497,1,False,3,100,shap,0.31606531143188477,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8713146,0.035291433,1,False,4,100,shap,0.16791844367980957,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8690406,0.03756541,1,False,5,100,shap,0.17183327674865723,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8632296,0.043376446,1,False,6,100,shap,0.17766046524047852,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8599313,0.04667473,1,False,7,100,shap,0.16933465003967285,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.85326034,0.05334568,1,False,8,100,shap,0.17471599578857422,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8446196,0.061986446,1,False,9,100,shap,0.1764359474182129,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.80405086,0.102555156,1,False,10,100,shap,0.17158198356628418,18,10,5,1,62,11,32,25,67,53,68
0.9082906,0.9082906,0.0,1,False,0,100,shap,2.516002893447876,9,4,6,67,1,48,34,68,32,22,26
0.9082906,0.89505917,0.013231456,1,False,1,100,shap,0.2033674716949463,9,4,6,67,1,48,34,68,32,22,26
0.9082906,0.8909081,0.017382503,1,False,2,100,shap,0.18392324447631836,9,4,6,67,1,48,34,68,32,22,26
0.9082906,0.8806264,0.027664244,1,False,3,100,shap,0.1816396713256836,9,4,6,67,1,48,34,68,32,22,26
0.9082906,0.8689279,0.03936273,1,False,4,100,shap,0.17922163009643555,9,4,6,67,1,48,34,68,32,22,26
0.9082906,0.8443378,0.0639528,1,False,5,100,shap,0.17431187629699707,9,4,6,67,1,48,34,68,32,22,26
0.9082906,0.8232345,0.085056126,1,False,6,100,shap,0.17576885223388672,9,4,6,67,1,48,34,68,32,22,26
0.9082906,0.81461847,0.09367216,1,False,7,100,shap,0.17585086822509766,9,4,6,67,1,48,34,68,32,22,26
0.9082906,0.8122168,0.09607381,1,False,8,100,shap,0.17441558837890625,9,4,6,67,1,48,34,68,32,22,26
0.9082906,0.80070764,0.10758299,1,False,9,100,shap,0.17354369163513184,9,4,6,67,1,48,34,68,32,22,26
0.9082906,0.7942808,0.1140098,1,False,10,100,shap,0.17269468307495117,9,4,6,67,1,48,34,68,32,22,26
0.7703792,0.7703792,0.0,1,False,0,100,shap,2.555342197418213,3,0,53,1,59,62,31,5,44,66,52
0.7703792,0.7218659,0.048513293,1,False,1,100,shap,0.2032942771911621,3,0,53,1,59,62,31,5,44,66,52
0.7703792,0.6664931,0.10388607,1,False,2,100,shap,0.18424391746520996,3,0,53,1,59,62,31,5,44,66,52
0.7703792,0.6125327,0.15784651,1,False,3,100,shap,0.18117237091064453,3,0,53,1,59,62,31,5,44,66,52
0.7703792,0.6070589,0.1633203,1,False,4,100,shap,0.17922353744506836,3,0,53,1,59,62,31,5,44,66,52
0.7703792,0.60662425,0.16375494,1,False,5,100,shap,0.1720125675201416,3,0,53,1,59,62,31,5,44,66,52
0.7703792,0.6031785,0.16720068,1,False,6,100,shap,0.18162059783935547,3,0,53,1,59,62,31,5,44,66,52
0.7703792,0.59786886,0.17251033,1,False,7,100,shap,0.1762080192565918,3,0,53,1,59,62,31,5,44,66,52
0.7703792,0.58951116,0.18086803,1,False,8,100,shap,0.17482376098632812,3,0,53,1,59,62,31,5,44,66,52
0.7703792,0.58885384,0.18152535,1,False,9,100,shap,0.17537689208984375,3,0,53,1,59,62,31,5,44,66,52
0.7703792,0.5905399,0.17983931,1,False,10,100,shap,0.1692817211151123,3,0,53,1,59,62,31,5,44,66,52
0.8621632,0.8621632,0.0,1,False,0,100,shap,2.6147191524505615,1,6,28,44,12,36,0,34,33,64,48
0.8621632,0.84513366,0.017029524,1,False,1,100,shap,0.3466911315917969,1,6,28,44,12,36,0,34,33,64,48
0.8621632,0.8148809,0.04728228,1,False,2,100,shap,0.17327022552490234,1,6,28,44,12,36,0,34,33,64,48
0.8621632,0.8022766,0.059886575,1,False,3,100,shap,0.17494630813598633,1,6,28,44,12,36,0,34,33,64,48
0.8621632,0.8007461,0.061417103,1,False,4,100,shap,0.17561793327331543,1,6,28,44,12,36,0,34,33,64,48
0.8621632,0.7970472,0.06511599,1,False,5,100,shap,0.1754910945892334,1,6,28,44,12,36,0,34,33,64,48
0.8621632,0.7904903,0.07167286,1,False,6,100,shap,0.17574191093444824,1,6,28,44,12,36,0,34,33,64,48
0.8621632,0.78022575,0.08193743,1,False,7,100,shap,0.1767134666442871,1,6,28,44,12,36,0,34,33,64,48
0.8621632,0.77459985,0.087563336,1,False,8,100,shap,0.1733875274658203,1,6,28,44,12,36,0,34,33,64,48
0.8621632,0.767807,0.09435618,1,False,9,100,shap,0.17214226722717285,1,6,28,44,12,36,0,34,33,64,48
0.8621632,0.7683593,0.09380388,1,False,10,100,shap,0.17356276512145996,1,6,28,44,12,36,0,34,33,64,48
0.8249387,0.8249387,0.0,1,False,0,100,shap,2.6354410648345947,22,60,31,57,24,48,30,19,34,9,42
0.8249387,0.81962895,0.0053097606,1,False,1,100,shap,0.18593573570251465,22,60,31,57,24,48,30,19,34,9,42
0.8249387,0.81953776,0.0054009557,1,False,2,100,shap,0.1900310516357422,22,60,31,57,24,48,30,19,34,9,42
0.8249387,0.81194913,0.012989581,1,False,3,100,shap,0.1846151351928711,22,60,31,57,24,48,30,19,34,9,42
0.8249387,0.8103509,0.01458782,1,False,4,100,shap,0.17773056030273438,22,60,31,57,24,48,30,19,34,9,42
0.8249387,0.80539095,0.01954776,1,False,5,100,shap,0.1753075122833252,22,60,31,57,24,48,30,19,34,9,42
0.8249387,0.79261273,0.032325983,1,False,6,100,shap,0.17263102531433105,22,60,31,57,24,48,30,19,34,9,42
0.8249387,0.77875274,0.04618597,1,False,7,100,shap,0.17259645462036133,22,60,31,57,24,48,30,19,34,9,42
0.8249387,0.81022453,0.014714181,1,False,8,100,shap,0.173234224319458,22,60,31,57,24,48,30,19,34,9,42
0.8249387,0.8010561,0.023882627,1,False,9,100,shap,0.17633581161499023,22,60,31,57,24,48,30,19,34,9,42
0.8249387,0.79866844,0.02627027,1,False,10,100,shap,0.1734607219696045,22,60,31,57,24,48,30,19,34,9,42
0.82401824,0.82401824,0.0,1,False,0,100,shap,2.6098315715789795,67,0,6,1,3,9,2,53,44,29,33
0.82401824,0.80419797,0.019820273,1,False,1,100,shap,0.1885206699371338,67,0,6,1,3,9,2,53,44,29,33
0.82401824,0.78199315,0.04202509,1,False,2,100,shap,0.1782233715057373,67,0,6,1,3,9,2,53,44,29,33
0.82401824,0.7537695,0.07024872,1,False,3,100,shap,0.1875450611114502,67,0,6,1,3,9,2,53,44,29,33
0.82401824,0.74872214,0.075296104,1,False,4,100,shap,0.1734912395477295,67,0,6,1,3,9,2,53,44,29,33
0.82401824,0.7422748,0.08174342,1,False,5,100,shap,0.17635536193847656,67,0,6,1,3,9,2,53,44,29,33
0.82401824,0.7223345,0.101683736,1,False,6,100,shap,0.16923189163208008,67,0,6,1,3,9,2,53,44,29,33
0.82401824,0.7025025,0.12151575,1,False,7,100,shap,0.1757676601409912,67,0,6,1,3,9,2,53,44,29,33
0.82401824,0.68254685,0.14147139,1,False,8,100,shap,0.17374587059020996,67,0,6,1,3,9,2,53,44,29,33
