loss,accuracy,val_loss,val_accuracy
0.47211337089538574,0.7611262202262878,0.4534389078617096,0.8513854146003723
0.22089076042175293,0.9182561039924622,0.3226507902145386,0.9042820930480957
0.20710249245166779,0.9273387789726257,0.2314494401216507,0.9370276927947998
0.17962336540222168,0.9318801164627075,0.1808163821697235,0.9370276927947998
0.16495592892169952,0.9391462206840515,0.15151400864124298,0.9445843696594238
0.13264282047748566,0.9536784887313843,0.14421646296977997,0.9496221542358398
0.14767573773860931,0.9400544762611389,0.1379176825284958,0.9521410465240479
0.11388160288333893,0.9609445929527283,0.13318473100662231,0.9471032619476318
0.10996687412261963,0.9663941860198975,0.1332501620054245,0.9496221542358398
0.108193539083004,0.9600363373756409,0.13341471552848816,0.9521410465240479
