original_class,original_probability,new_probability,confidence_diff,class_change,new_class,explainer,strategy,sigma,time,num_features
Siamese_cat,0.96075493,0.16730799,0.79344696,True,keeshond,grad,top,1,0.1815333366394043,6
Siamese_cat,0.96075493,0.027043499,0.9337114,True,dishrag,grad,rest,1,0.18143534660339355,6
Siamese_cat,0.96075493,0.09425433,0.8665006,True,keeshond,grad,top,1,0.18230962753295898,7
Siamese_cat,0.96075493,0.17014539,0.79060954,True,keeshond,grad,rest,1,0.18583202362060547,7
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.16398954391479492,8
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.1945037841796875,8
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.1799483299255371,9
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.186981201171875,9
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.16600918769836426,10
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.192213773727417,10
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.17374634742736816,11
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.18187880516052246,11
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.18124008178710938,12
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.18854331970214844,12
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.1730022430419922,13
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.18723845481872559,13
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.18140840530395508,14
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.18149638175964355,14
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.18062901496887207,15
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.18610000610351562,15
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.1665961742401123,16
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.19291305541992188,16
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.17335081100463867,17
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.18184614181518555,17
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.18127083778381348,18
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.18321800231933594,18
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.16354155540466309,19
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.19163250923156738,19
Siamese_cat,0.96075493,0.021364527,0.9393904,True,keeshond,grad,top,1,0.1851027011871338,20
Siamese_cat,0.96075493,0.09732468,0.86343026,True,keeshond,grad,rest,1,0.18545889854431152,20
quilt,0.97600704,0.9502252,0.02578187,False,quilt,grad,top,1,0.23325204849243164,1
quilt,0.97600704,0.0024829956,0.97352403,True,window_screen,grad,rest,1,0.1799919605255127,1
