loss,accuracy,val_loss,val_accuracy
1.2315162420272827,0.5488384962081909,1.0424911975860596,0.609333336353302
0.7817650437355042,0.7287993431091309,0.5912662148475647,0.7933333516120911
0.6454480886459351,0.766582727432251,0.5085548758506775,0.8306666612625122
0.5507039427757263,0.7982087731361389,0.46428754925727844,0.8453333377838135
0.5126557946205139,0.8200391530990601,0.45010265707969666,0.8413333296775818
0.4660086929798126,0.8390707969665527,0.4242394268512726,0.8640000224113464
0.4108399450778961,0.8550238013267517,0.4141465127468109,0.8679999709129333
0.3802000880241394,0.8743352890014648,0.39188042283058167,0.874666690826416
0.3320132791996002,0.8846907615661621,0.38778364658355713,0.8640000224113464
0.31122103333473206,0.8989644646644592,0.384949654340744,0.8733333349227905
0.2903933525085449,0.9020431041717529,0.44096216559410095,0.8640000224113464
