original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,reverse_order,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.6681794,0.52403396,0.14414543,1,False,3,100,shap,0.9299623966217041,False,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.66531026,0.0028691292,1,False,3,100,shap,0.7976925373077393,True,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.45952,0.20865938,1,True,4,100,shap,0.8868026733398438,False,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.6571754,0.011003971,1,False,4,100,shap,0.9306461811065674,True,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.47615132,0.19202808,1,True,5,100,shap,0.8238186836242676,False,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.661816,0.006363392,1,False,5,100,shap,0.8513157367706299,True,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.44782576,0.22035363,1,True,6,100,shap,0.9782156944274902,False,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.6599184,0.008260965,1,False,6,100,shap,1.0393433570861816,True,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.40907565,0.25910375,1,True,7,100,shap,0.8539423942565918,False,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.6557073,0.012472093,1,False,7,100,shap,0.7938055992126465,True,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.43947315,0.22870624,1,True,8,100,shap,0.8540241718292236,False,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.65390223,0.01427716,1,False,8,100,shap,0.79056715965271,True,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.40926957,0.25890982,1,True,9,100,shap,0.7828431129455566,False,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.6481301,0.020049274,1,False,9,100,shap,0.8079535961151123,True,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.49946865,0.16871074,1,True,10,100,shap,0.9406599998474121,False,4,1,13,16,5,18,15,8,11,10,12
0.6681794,0.6189912,0.049188197,1,False,10,100,shap,0.8320279121398926,True,4,1,13,16,5,18,15,8,11,10,12
0.6872218,0.6872219,-5.9604645e-08,1,False,0,100,shap,8.222371101379395,False,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.6872219,-5.9604645e-08,1,False,0,100,shap,0.8692309856414795,True,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.5251232,0.16209865,1,False,1,100,shap,1.1009447574615479,False,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.6872219,-5.9604645e-08,1,False,1,100,shap,1.0946424007415771,True,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.6553514,0.031870425,1,False,2,100,shap,0.8452003002166748,False,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.6872219,-5.9604645e-08,1,False,2,100,shap,0.867565393447876,True,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.5133065,0.17391533,1,False,3,100,shap,0.9297833442687988,False,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.6872219,-5.9604645e-08,1,False,3,100,shap,0.8329730033874512,True,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.4866553,0.20056653,1,True,4,100,shap,0.8247809410095215,False,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.6872219,-5.9604645e-08,1,False,4,100,shap,1.1465811729431152,True,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.4865222,0.20069963,1,True,5,100,shap,1.1941518783569336,False,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.6856688,0.001552999,1,False,5,100,shap,0.9629242420196533,True,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.45172754,0.23549429,1,True,6,100,shap,0.964289665222168,False,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.67710876,0.0101130605,1,False,6,100,shap,0.8044681549072266,True,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.41396618,0.27325565,1,True,7,100,shap,0.9343972206115723,False,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.68154633,0.0056754947,1,False,7,100,shap,0.7805469036102295,True,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.42313498,0.26408684,1,True,8,100,shap,0.7751336097717285,False,4,12,6,9,1,5,8,28,16,21,29
